arret_id,nom,ligne_id,latitude,longitude,commune
AR001,Hopital L01-1,L01,33.405002,-7.644994,Ain Diab
AR002,Mosquee L01-2,L01,33.547294,-7.56466,Maarif
AR003,Ecole Publique L01-3,L01,33.518099,-7.693643,Casablanca
AR004,Lycee L01-4,L01,33.446532,-7.579596,Maarif
AR005,Lycee L01-5,L01,33.543204,-7.559735,Sidi Bernoussi
AR006,Dispensaire L02-1,L02,33.489842,-7.644362,Casablanca
AR007,Stade L02-2,L02,33.539628,-7.63195,Ain Diab
AR008,Lycee L02-3,L02,33.591443,-7.632681,Casablanca
AR009,Banque Populaire L02-4,L02,33.419343,-7.530501,Maarif
AR010,Souk L02-5,L02,33.561426,-7.554054,Maarif
AR011,Hopital L03-1,L03,33.594623,-7.624293,Maarif
AR012,Gare Routiere L03-2,L03,33.565881,-7.576296,Hay Mohammadi
AR013,Epicierie L03-3,L03,33.438458,-7.686089,Ain Diab
AR014,Gare Routiere L03-4,L03,33.597044,-7.528936,Casablanca
AR015,Banque Populaire L03-5,L03,33.455595,-7.572863,Hay Mohammadi
AR016,Stade L04-1,L04,33.474036,-7.658099,Hay Mohammadi
AR017,Ecole Publique L04-2,L04,33.521826,-7.665772,Ain Diab
AR018,Stade L04-3,L04,33.492452,-7.64601,Maarif
AR019,Dispensaire L04-4,L04,33.536923,-7.53143,Casablanca
AR020,Dispensaire L04-5,L04,33.564361,-7.538991,Sidi Bernoussi
AR021,Souk L05-1,L05,33.413238,-7.517373,Maarif
AR022,Commissariat L05-2,L05,33.442525,-7.600154,Sidi Bernoussi
AR023,Mosquee L05-3,L05,33.452976,-7.650674,Maarif
AR024,Hammam L05-4,L05,33.452548,-7.583083,Maarif
AR025,Banque Populaire L05-5,L05,33.472399,-7.500535,Ain Diab
AR026,Pharmacie L06-1,L06,33.498703,-7.548844,Casablanca
AR027,Mosquee L06-2,L06,33.525489,-7.541584,Sidi Bernoussi
AR028,Mairie L06-3,L06,33.412706,-7.623676,Sidi Bernoussi
AR029,Pharmacie L06-4,L06,33.450283,-7.589355,Casablanca
AR030,Hopital L06-5,L06,33.536342,-7.592606,Hay Mohammadi
AR031,Commissariat L07-1,L07,33.42231,-7.613047,Sidi Bernoussi
AR032,Place Centrale L07-2,L07,33.590763,-7.524829,Hay Mohammadi
AR033,Pharmacie L07-3,L07,33.552392,-7.598464,Casablanca
AR034,Gare Routiere L07-4,L07,33.568334,-7.598467,Ain Diab
AR035,Mosquee L07-5,L07,33.474783,-7.66769,Maarif
AR036,Place Centrale L08-1,L08,33.519789,-7.602279,Casablanca
AR037,Poste L08-2,L08,33.575744,-7.533667,Hay Mohammadi
AR038,Dispensaire L08-3,L08,33.411585,-7.524398,Casablanca
AR039,Ecole Publique L08-4,L08,33.546382,-7.536795,Maarif
AR040,Mosquee L08-5,L08,33.425678,-7.604944,Maarif
AR041,Stade L09-1,L09,33.453011,-7.525513,Sidi Bernoussi
AR042,Lycee L09-2,L09,33.585783,-7.548947,Ain Diab
AR043,Gare Routiere L09-3,L09,33.479798,-7.565663,Hay Mohammadi
AR044,Fontaine L09-4,L09,33.579923,-7.609703,Ain Diab
AR045,Dispensaire L09-5,L09,33.412805,-7.695793,Maarif
AR046,Dispensaire L10-1,L10,33.517688,-7.698562,Casablanca
AR047,Dispensaire L10-2,L10,33.41348,-7.693717,Hay Mohammadi
AR048,Ecole Publique L10-3,L10,33.502831,-7.644305,Sidi Bernoussi
AR049,Lycee L10-4,L10,33.507847,-7.555329,Maarif
AR050,Epicierie L10-5,L10,33.494534,-7.543076,Sidi Bernoussi
AR051,Lycee L11-1,L11,33.418865,-7.568203,Hay Mohammadi
AR052,Coop L11-2,L11,33.48222,-7.527233,Casablanca
AR053,Hopital L11-3,L11,33.412123,-7.554357,Casablanca
AR054,Dispensaire L11-4,L11,33.438318,-7.592743,Ain Diab
AR055,Coop L11-5,L11,33.436698,-7.607474,Casablanca
AR056,Fontaine L12-1,L12,33.561604,-7.528807,Casablanca
AR057,Marche Couvert L12-2,L12,33.530429,-7.591882,Casablanca
AR058,Ecole Publique L12-3,L12,33.585273,-7.530261,Ain Diab
AR059,Coop L12-4,L12,33.497128,-7.657251,Sidi Bernoussi
AR060,Marche Couvert L12-5,L12,33.432927,-7.699569,Sidi Bernoussi
