bus_id,immatriculation,ligne_assignee,actif,capacite,annee_mise_en_service,marque,modele
BUS001,12345-001-A9,L05,True,60,2020,Iveco,Crossway
BUS002,12345-002-A5,L12,True,45,2013,Iveco,Urbanway
BUS003,12345-003-A6,L01,True,80,2010,Scania,Citywide
BUS004,12345-004-A9,L01,True,70,2012,Scania,K230
BUS005,12345-005-A3,L01,True,90,2011,Scania,Citywide
BUS006,12345-006-A2,L10,True,60,2019,Mercedes,Citaro
BUS007,12345-007-A2,L04,True,70,2016,Scania,Citywide
BUS008,12345-008-A4,L11,True,50,2020,Scania,K230
BUS009,12345-009-A7,L12,True,50,2012,MAN,Lion's City
BUS010,12345-010-A2,L11,True,50,2010,MAN,NL273
BUS011,12345-011-A9,L08,True,40,2013,Scania,Citywide
BUS012,12345-012-A2,L09,True,50,2013,MAN,Lion's City
BUS013,12345-013-A9,L06,True,60,2021,MAN,Lion's City
BUS014,12345-014-A9,L05,True,80,2014,Scania,Citywide
BUS015,12345-015-A2,L11,True,50,2011,Mercedes,Citaro
BUS016,12345-016-A5,L12,True,50,2019,Scania,Citywide
BUS017,12345-017-A5,L04,True,80,2018,MAN,Lion's City
BUS018,12345-018-A7,L08,True,40,2023,MAN,Lion's City
BUS019,12345-019-A3,L05,True,50,2020,Mercedes,Citaro
BUS020,12345-020-A7,L05,True,70,2018,Volvo,B8RLE
BUS021,12345-021-A3,L01,True,80,2018,Mercedes,Citaro
BUS022,12345-022-A3,L01,True,60,2010,MAN,Lion's City
BUS023,12345-023-A4,L05,True,50,2020,MAN,Lion's City
BUS024,12345-024-A9,L04,True,90,2023,Mercedes,CapaCity
BUS025,12345-025-A3,L07,True,45,2022,Scania,Citywide
BUS026,12345-026-A6,L03,True,45,2022,Iveco,Urbanway
BUS027,12345-027-A2,L07,True,45,2016,Volvo,B8RLE
BUS028,12345-028-A8,L01,True,45,2015,Iveco,Urbanway
BUS029,12345-029-A4,L05,True,40,2016,Volvo,7900
BUS030,12345-030-A5,L06,True,90,2015,MAN,Lion's City
BUS031,12345-031-A9,L11,True,80,2015,Scania,K230
BUS032,12345-032-A5,L01,True,45,2010,Mercedes,CapaCity
BUS033,12345-033-A6,L02,True,50,2016,Scania,K230
BUS034,12345-034-A4,L10,True,60,2014,Scania,Citywide
BUS035,12345-035-A9,L01,True,70,2020,Iveco,Urbanway
BUS036,12345-036-A2,L12,True,60,2020,Volvo,B8RLE
BUS037,12345-037-A2,L06,True,80,2021,Scania,K230
BUS038,12345-038-A7,L05,True,80,2015,Scania,K230
BUS039,12345-039-A7,L07,True,45,2020,MAN,Lion's City
BUS040,12345-040-A9,L07,True,60,2023,Volvo,B8RLE
BUS041,12345-041-A7,L01,True,45,2022,MAN,NL273
BUS042,12345-042-A8,L10,True,60,2017,Scania,K230
BUS043,12345-043-A3,L11,True,90,2020,Volvo,B8RLE
BUS044,12345-044-A4,L02,True,40,2020,MAN,NL273
BUS045,12345-045-A1,L05,True,45,2010,Volvo,7900
BUS046,12345-046-A7,L04,True,60,2020,Iveco,Urbanway
BUS047,12345-047-A7,L10,True,60,2013,Volvo,B8RLE
BUS048,12345-048-A7,L03,True,90,2013,Mercedes,Citaro
BUS049,12345-049-A9,L03,True,40,2013,Scania,K230
BUS050,12345-050-A8,L02,True,90,2020,Iveco,Urbanway
BUS051,12345-051-A8,L09,True,90,2019,Scania,K230
BUS052,12345-052-A9,L12,True,90,2017,Scania,K230
BUS053,12345-053-A4,L03,True,50,2023,Iveco,Crossway
BUS054,12345-054-A4,L11,True,80,2014,MAN,NL273
BUS055,12345-055-A5,L08,True,45,2015,Mercedes,CapaCity
BUS056,12345-056-A3,L06,True,45,2013,Scania,Citywide
BUS057,12345-057-A7,L07,True,40,2016,Volvo,7900
BUS058,12345-058-A1,L06,True,60,2013,Scania,K230
BUS059,12345-059-A7,L07,True,90,2017,Iveco,Urbanway
BUS060,12345-060-A7,L01,True,90,2023,MAN,NL273
BUS061,12345-061-A4,L07,True,60,2014,Scania,Citywide
BUS062,12345-062-A6,L07,True,60,2020,Iveco,Urbanway
BUS063,12345-063-A8,L11,True,90,2012,Iveco,Urbanway
BUS064,12345-064-A1,L10,True,60,2011,Scania,Citywide
BUS065,12345-065-A8,L11,True,90,2012,Iveco,Urbanway
BUS066,12345-066-A4,L01,True,50,2017,MAN,NL273
BUS067,12345-067-A7,L06,True,50,2014,MAN,NL273
BUS068,12345-068-A9,L02,True,80,2010,Iveco,Urbanway
BUS069,12345-069-A1,L06,True,90,2022,Volvo,7900
BUS070,12345-070-A1,L01,True,90,2019,Volvo,7900
BUS071,12345-071-A2,L03,True,60,2019,Volvo,7900
BUS072,12345-072-A6,L04,True,90,2012,Iveco,Crossway
BUS073,12345-073-A3,L10,True,90,2014,Scania,Citywide
BUS074,12345-074-A7,L02,True,50,2016,Scania,Citywide
BUS075,12345-075-A4,L12,True,70,2011,Volvo,7900
BUS076,12345-076-A1,L12,True,90,2015,MAN,Lion's City
BUS077,12345-077-A9,L09,True,40,2020,Iveco,Crossway
BUS078,12345-078-A8,L06,True,90,2011,Mercedes,CapaCity
BUS079,12345-079-A3,L07,True,80,2016,MAN,NL273
BUS080,12345-080-A9,L03,True,70,2022,Scania,K230
BUS081,12345-081-A5,L08,True,90,2015,Iveco,Crossway
BUS082,12345-082-A4,L04,True,60,2022,Mercedes,CapaCity
BUS083,12345-083-A1,L08,True,50,2017,Scania,K230
BUS084,12345-084-A6,L06,True,45,2022,Volvo,B8RLE
BUS085,12345-085-A5,L05,True,70,2018,MAN,NL273
BUS086,12345-086-A4,L01,True,40,2021,Scania,Citywide
BUS087,12345-087-A8,L07,True,80,2020,Iveco,Urbanway
BUS088,12345-088-A1,L12,True,90,2011,Iveco,Crossway
BUS089,12345-089-A4,L05,True,80,2014,Volvo,B8RLE
BUS090,12345-090-A9,L11,True,60,2018,Scania,K230
BUS091,12345-091-A8,L06,True,50,2014,Iveco,Crossway
BUS092,12345-092-A4,L05,True,40,2015,MAN,Lion's City
BUS093,12345-093-A4,L02,True,45,2021,Scania,Citywide
BUS094,12345-094-A4,L08,False,40,2014,MAN,NL273
BUS095,12345-095-A1,L04,False,50,2021,MAN,Lion's City
BUS096,12345-096-A1,L09,False,40,2018,Volvo,B8RLE
BUS097,12345-097-A1,L05,False,40,2019,Volvo,B8RLE
BUS098,12345-098-A6,L05,False,60,2012,Iveco,Crossway
BUS099,12345-099-A2,L01,False,40,2016,MAN,NL273
BUS100,12345-100-A3,L08,False,45,2022,Mercedes,Citaro
